ROI Name,Angle,Diameter(px)
1.roi,0,301.69441949774904
1.roi,20,321.38757937387913
1.roi,40,370.53971385908125
1.roi,60,433.29008574517434
1.roi,80,306.4903424189752
1.roi,100,319.58612381861684
1.roi,120,370.5099583636794
1.roi,140,447.479663123823
1.roi,160,328.44575242780945
10.roi,0,233.86441754902233
10.roi,20,237.8906370481559
10.roi,40,287.43227850491087
10.roi,60,243.98519484589696
10.roi,80,237.6819948089222
10.roi,100,231.72005273371252
10.roi,120,288.0791763701854
10.roi,140,243.76189957041845
10.roi,160,240.20154146895206
11.roi,0,245.70338114932653
11.roi,20,270.06052165657565
11.roi,40,301.1653976687295
11.roi,60,279.61938273354974
11.roi,80,245.38862778235483
11.roi,100,266.224225319926
11.roi,120,302.19502663978153
11.roi,140,286.72499800889943
11.roi,160,246.08337758630165
13.roi,0,196.01034614542687
13.roi,20,178.7055723552098
13.roi,40,232.77468944200314
13.roi,60,223.9024958724861
13.roi,80,197.110732493925
13.roi,100,175.96741316684904
13.roi,120,230.513965692289
13.roi,140,234.1061654456111
13.roi,160,199.78980029312368
14.roi,0,231.30362642202857
14.roi,20,200.37281680966157
14.roi,40,208.3237750585014
14.roi,60,253.633352736488
14.roi,80,239.4829793471901
14.roi,100,202.13118638869068
14.roi,120,205.23490768106154
14.roi,140,242.21303364953252
14.roi,160,245.50964904255534
15.roi,0,207.59622764567325
15.roi,20,167.33502825368902
15.roi,40,151.1783467772696
15.roi,60,205.17081038261063
15.roi,80,209.98185939704797
15.roi,100,173.4932270720744
15.roi,120,150.7556248432499
15.roi,140,191.44319945978356
15.roi,160,212.13546746379512
16.roi,0,130.72037590332485
16.roi,20,146.29298680923694
16.roi,40,171.89468239304426
16.roi,60,177.22286128011535
16.roi,80,131.27717073813187
16.roi,100,142.62144274699335
16.roi,120,171.28176073377668
16.roi,140,182.79980613395915
16.roi,160,132.81270872606666
17.roi,0,144.87679291368823
17.roi,20,119.8095426039378
17.roi,40,78.70243931962702
17.roi,60,95.68194651792257
17.roi,80,139.5743666140021
17.roi,100,128.46072094521935
17.roi,120,79.52660811665545
17.roi,140,91.6764296307355
17.roi,160,135.39938210975302
18.roi,0,239.04547272875462
18.roi,20,216.55348675277844
18.roi,40,281.8335594299904
18.roi,60,334.57553057858377
18.roi,80,244.53994333751842
18.roi,100,214.1175050162349
18.roi,120,271.30412185806495
18.roi,140,336.811580870492
18.roi,160,252.85918612783138
2.roi,0,219.32202792037572
2.roi,20,309.5686314430924
2.roi,40,278.3364994360621
2.roi,60,225.04657909849652
2.roi,80,212.37411842692165
2.roi,100,314.7971914337171
2.roi,120,277.5403274750434
2.roi,140,233.00621463760854
2.roi,160,207.28880403247024
20.roi,0,164.82796945077274
20.roi,20,148.69052888512806
20.roi,40,139.1086396686398
20.roi,60,159.33376102092714
20.roi,80,166.48703789059596
20.roi,100,153.66675780795828
20.roi,120,141.57531823755096
20.roi,140,158.28129388033673
20.roi,160,167.48174902283148
24.roi,0,253.4754967602592
24.roi,20,202.6467486803105
24.roi,40,198.5436972264752
24.roi,60,247.9496612584963
24.roi,80,254.39057579022358
24.roi,100,206.0766769155401
24.roi,120,191.33880982270324
24.roi,140,246.91813637005842
24.roi,160,252.44960921862045
25.roi,0,257.16565809817297
25.roi,20,204.3963479829507
25.roi,40,202.33150113296676
25.roi,60,250.2902140011009
25.roi,80,261.6251461340627
25.roi,100,206.07968698355978
25.roi,120,199.93667974470185
25.roi,140,248.88740567171706
25.roi,160,262.07544093252045
26.roi,0,347.2719792897108
26.roi,20,345.59237069286644
26.roi,40,357.4204045290992
26.roi,60,347.8030382246621
26.roi,80,350.09870533619284
26.roi,100,348.42112588083785
26.roi,120,351.6075825555238
26.roi,140,352.3974282621988
26.roi,160,355.893813232756
27.roi,0,188.72364698816162
27.roi,20,221.30161368632622
27.roi,40,195.77107908649717
27.roi,60,250.9711534087458
27.roi,80,187.56356081830893
27.roi,100,217.1471615763186
27.roi,120,196.9157752671385
27.roi,140,245.76467825244828
27.roi,160,187.78839076970246
28.roi,0,353.1490942739533
28.roi,20,410.24242558955615
28.roi,40,322.64296783443933
28.roi,60,357.19773707241234
28.roi,80,348.6349713172415
28.roi,100,416.61695372332747
28.roi,120,323.9146578790338
28.roi,140,353.11605190182763
28.roi,160,346.4170706387086
3.roi,0,198.9141884110823
3.roi,20,249.50371096786742
3.roi,40,268.89011076916876
3.roi,60,178.11576418105113
3.roi,80,189.35188966531646
3.roi,100,247.529128958917
3.roi,120,269.46713266634276
3.roi,140,182.62002946881037
3.roi,160,184.74182897679654
31.roi,0,223.3762150932329
31.roi,20,216.39160992627154
31.roi,40,283.6052786364199
31.roi,60,327.9714668588361
31.roi,80,229.72383267069995
31.roi,100,212.6001142458981
31.roi,120,280.5519244489693
31.roi,140,334.0739679208511
31.roi,160,243.37720313081027
5.roi,0,176.57283965637436
5.roi,20,176.38930245241343
5.roi,40,168.14182441448804
5.roi,60,149.34558498103573
5.roi,80,177.16161060744662
5.roi,100,175.72593544519623
5.roi,120,168.73995127736288
5.roi,140,148.54287165041978
5.roi,160,177.40345648417724
6.roi,0,202.06124405700405
6.roi,20,192.29891232099078
6.roi,40,241.02330329003874
6.roi,60,201.5470079661585
6.roi,80,204.43794495251888
6.roi,100,188.4518031499722
6.roi,120,240.03795354265225
6.roi,140,204.3926050285087
6.roi,160,207.23886832133604
7.roi,0,319.92675523455864
7.roi,20,286.3674272259948
7.roi,40,266.9181311623686
7.roi,60,266.271229225524
7.roi,80,314.6231387464587
7.roi,100,284.469303856229
7.roi,120,269.4762285786734
7.roi,140,258.5982427042352
7.roi,160,310.10322231547536
8.roi,0,208.56913486687694
8.roi,20,223.1908612580446
8.roi,40,228.04156182710545
8.roi,60,208.7583738917125
8.roi,80,207.60362929360633
8.roi,100,218.29788137190894
8.roi,120,230.23538907694387
8.roi,140,212.50512819883883
8.roi,160,206.0342429051288
9.roi,0,274.75233482164236
9.roi,20,295.3227111337909
9.roi,40,193.8103918109175
9.roi,60,210.41200522597575
9.roi,80,270.6665909514566
9.roi,100,304.43871980159344
9.roi,120,200.43794176744086
9.roi,140,204.3063444638673
9.roi,160,268.08427530042087
